x0, y0, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5
0, 0.395905, 0, -0.270427, 0, 0.785471, 0, -1.15604, 0, -0.0368867, 0, -0.460022
1, 0.395782, 1, 0.152002, 1, 0.231045, 1, -1.15604, 1, -1.25427, 1, -0.460022
2, -0.3302, 2, 0.283607, 2, -0.76036, 2, -1.15604, 2, -0.385096, 2, -0.330777
3, 0.142639, 3, 0.606408, 3, -0.21212, 3, -1.15604, 3, 0.0870924, 3, -0.0888245
4, -0.088562, 4, -0.199766, 4, 0.503864, 4, -1.15604, 4, -0.382156, 4, -0.357642
5, -1.06363, 5, -0.924, 5, 0.559673, 5, 0.149071, 5, 1.01932, 5, -0.69572
6, 0.883362, 6, 0.817772, 6, -0.367453, 6, -1.11451, 6, 0.737395, 6, 0.178726
7, 0.625671, 7, 0.721452, 7, -0.433624, 7, -1.26514, 7, -0.353195, 7, 0.596981
8, -0.324066, 8, 0.271618, 8, -0.22659, 8, -1.88123, 8, 0.13265, 8, 0.286433
9, 0.151764, 9, -0.134412, 9, -0.110637, 9, -0.87746, 9, -0.419984, 9, -0.476504
10, 0.131805, 10, 1.21379, 10, -0.253608, 10, -1.32392, 10, -0.140766, 10, -0.0326596
11, -0.362976, 11, 1.24987, 11, 0.804813, 11, -1.10298, 11, -0.622689, 11, 1.59279
12, -0.793396, 12, 0.121935, 12, 0.659721, 12, -0.753713, 12, -0.946114, 12, 1.31112
13, -0.319824, 13, 0.0686331, 13, 0.256377, 13, -0.845122, 13, -0.708933, 13, -0.482462
14, 0.0264893, 14, 1.1291, 14, 0.287097, 14, -0.734475, 14, 0.192722, 14, -0.0328663
15, 1.56671, 15, 1.07336, 15, 0.819217, 15, -1.36162, 15, 0.299295, 15, -0.157661
16, 0.884186, 16, 0.602046, 16, 1.239, 16, -1.62391, 16, -0.278929, 16, -0.264538
17, 0.86969, 17, 0.394146, 17, 1.13688, 17, -0.953654, 17, -0.667779, 17, 0.562321
18, 0.587891, 18, 0.940191, 18, -0.245258, 18, -0.514447, 18, -1.05109, 18, 0.89284
19, -0.313751, 19, 0.333122, 19, -0.218034, 19, -0.950588, 19, -0.0245862, 19, 0.238068
20, 0.175018, 20, 0.406246, 20, -0.017111, 20, -0.967893, 20, 0.245312, 20, -0.403467
21, 0.601837, 21, 0.534803, 21, -0.852867, 21, 0.134374, 21, 0.38452, 21, 0.148515
22, 0.0412598, 22, 0.704541, 22, -0.0282219, 22, -0.540063, 22, 0.445936, 22, 0.75521
23, 2.28394, 23, 0.615988, 23, -0.397305, 23, -1.43544, 23, 0.0821315, 23, 0.363763
24, 1.10788, 24, -0.273657, 24, 0.16418, 24, -0.717566, 24, 0.0559545, 24, -0.323317
25, 0.640045, 25, -0.587345, 25, -0.734452, 25, -0.990539, 25, -0.471287, 25, -1.09584
26, 0.633362, 26, 0.541903, 26, -1.21368, 26, -1.71407, 26, 0.531402, 26, -0.108462
27, -0.0895081, 27, 0.576359, 27, 0.0332837, 27, -1.51216, 27, 0.282346, 27, 0.316552
28, -0.333252, 28, 0.213903, 28, 0.601365, 28, -1.96422, 28, -0.270484, 28, -0.470534
29, -0.0971375, 29, -0.212778, 29, -0.715487, 29, -0.623571, 29, 0.526063, 29, -0.951515
30, -0.0923767, 30, 0.0525359, 30, -0.452324, 30, -1.12766, 30, 0.287194, 30, 0.156994
31, 0.369324, 31, 0.0209513, 31, 0.521334, 31, -1.77487, 31, 0.0194793, 31, 0.814458
32, 2.19995, 32, 0.677459, 32, 0.77846, 32, -1.51213, 32, 0.268162, 32, -0.127925
33, -1.62582, 33, 1.18922, 33, 1.11234, 33, -0.83718, 33, 1.06499, 33, -0.44641
34, -0.0878601, 34, 0.782405, 34, 0.78953, 34, 0.459969, 34, 0.0711545, 34, 0.458036
35, -0.494354, 35, 0.742957, 35, 0.945235, 35, -0.531972, 35, -0.779258, 35, 0.582616
36, 1.33694, 36, 0.0834655, 36, 1.11516, 36, -0.90826, 36, -0.685469, 36, 0.024635
37, 0.333679, 37, -0.000602304, 37, 0.549886, 37, -0.15185, 37, -0.00316839, 37, -0.0876736
38, -1.36725, 38, 1.38243, 38, 0.455966, 38, -0.131841, 38, -0.0810436, 38, 0.566052
39, 0.414856, 39, 0.367613, 39, 1.43607, 39, -1.70271, 39, 0.453952, 39, 0.320577
40, -0.897095, 40, 0.0413295, 40, 1.67326, 40, -1.56368, 40, 0.0883043, 40, -0.185509
41, -0.18811, 41, 0.180677, 41, 1.17493, 41, 0.106824, 41, -0.123064, 41, 0.158187
42, -0.752136, 42, 1.13692, 42, 0.209821, 42, -0.0134936, 42, 0.376711, 42, 0.136318
43, 0.267578, 43, -0.0568763, 43, -0.276474, 43, -1.49245, 43, -0.667819, 43, 0.0180095
44, -0.0377197, 44, 0.177221, 44, -0.24603, 44, -0.753651, 44, -0.399129, 44, -0.1749
45, 0.763, 45, -0.21622, 45, 0.0114295, 45, -1.18183, 45, -0.460537, 45, -0.787331
46, 0.254883, 46, 0.152694, 46, 1.00063, 46, -0.448104, 46, -0.903261, 46, -0.12039
47, -0.666199, 47, 0.0995775, 47, 0.330681, 47, -0.748579, 47, -1.91521, 47, -0.173285
48, 0.363251, 48, 0.530015, 48, 1.0856, 48, 0.0328494, 48, 0.0179241, 48, -1.22098
49, -0.327637, 49, 0.262334, 49, 0.308532, 49, -0.253136, 49, -0.0504566, 49, -1.27732
50, 0.377716, 50, -0.432367, 50, 0.949891, 50, -0.236235, 50, 0.22091, 50, -1.04812
51, 1.02551, 51, -0.0545843, 51, 0.456344, 51, -0.54465, 51, -0.294556, 51, -0.964194
52, 1.71509, 52, -0.307154, 52, 0.861999, 52, 0.403464, 52, 0.813881, 52, -0.974956
53, 0.0762939, 53, -0.70517, 53, 0.399222, 53, -0.261849, 53, -0.0366862, 53, -0.208861
54, -0.336517, 54, -0.210962, 54, -0.199734, 54, -0.304109, 54, 0.853647, 54, 0.14534
55, 0.916138, 55, 0.637608, 55, 0.872986, 55, -0.192543, 55, 1.33183, 55, -0.563094
56, 0.0579529, 56, 0.511311, 56, 0.609426, 56, -1.11057, 56, 0.72245, 56, -1.02933
57, -0.0923767, 57, 0.536158, 57, 1.20463, 57, -1.58473, 57, -0.857972, 57, -1.22197
58, 1.19775, 58, 1.55314, 58, 0.363725, 58, -0.903871, 58, -0.523692, 58, 0.0534647
59, -0.34433, 59, 1.4184, 59, 0.154633, 59, -0.338186, 59, -0.45016, 59, -0.0217875
60, -0.36673, 60, 0.973477, 60, -0.663745, 60, -0.764402, 60, -0.552929, 60, -0.960421
61, 0.728485, 61, 0.692606, 61, 0.847182, 61, -0.118925, 61, -0.257035, 61, -0.877024
62, 1.09637, 62, 0.548444, 62, -0.101913, 62, -0.504738, 62, -0.408919, 62, 0.1269
63, -0.137604, 63, 0.894438, 63, 0.0028118, 63, -0.381691, 63, -1.15783, 63, -0.0788071
64, -0.125946, 64, 0.69293, 64, 1.19233, 64, -0.671076, 64, -1.50708, 64, -0.65651
65, -1.56561, 65, 0.962411, 65, 1.2626, 65, -0.557786, 65, -0.657536, 65, -0.622263
66, -0.110199, 66, 0.962456, 66, -0.0249934, 66, -1.01044, 66, -0.738241, 66, -0.649132
67, -0.48999, 67, 0.343884, 67, 0.459479, 67, -0.904695, 67, 0.171038, 67, -0.391865
68, 0.28302, 68, 0.0390362, 68, 0.707797, 68, -0.890055, 68, 0.364376, 68, -0.00775726
69, 0.395905, 69, 0.777778, 69, 0.621634, 69, -0.606152, 69, 0.489405, 69, 0.171575
70, -1.10089, 70, 0.66029, 70, 0.467033, 70, -0.376843, 70, 0.0413959, 70, -0.285755
71, -0.469788, 71, 0.229071, 71, -0.108929, 71, -0.645691, 71, -0.137631, 71, -0.424406
72, -0.128265, 72, 0.076707, 72, 0.0574452, 72, -0.992143, 72, -0.0930946, 72, -0.433637
73, 0.321991, 73, 0.0798861, 73, 0.376339, 73, -0.656456, 73, 0.0564874, 73, -0.843556
74, 1.21957, 74, 0.57194, 74, 0.793401, 74, -0.259235, 74, 0.286465, 74, -1.11983
75, -0.263031, 75, 0.468532, 75, 0.696169, 75, -0.551873, 75, -0.157175, 75, -0.824163
